==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00008008  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008009  2 scripts ['0b72f276', '2bc9060f']  sizes [(96, 18)]
  0x00008A50  2 scripts ['2bc90671', '898897de']  sizes [(105, 13)]
  0x0000AAAA  32 scripts ['09923283', '0a5fa5d6', '0b72f276', '2a2aed99', '2bc9060f', '2bc90671', '49889894', '4992f764', '4a160034', '4bc906b5', '69e3d347', '6bb27447', '6bc61f19', '6bc9065a', '898897de', '899302fc', 'aa1f1f57', 'aa356502', 'aa3acdfe', 'aa53e3ea', 'aa920991', 'aaa44448', 'c9930681', 'cb95403e', 'cbc3c2b9', 'cbc905cd', 'e9923283', 'e99237ff', 'e9949936', 'ea287193', 'ea2871aa', 'ebd0d36c']  sizes [(0, 0), (17, 14), (20, 20), (20, 24), (26, 26), (27, 24), (27, 30), (28, 26), (28, 28), (30, 24), (30, 26), (31, 28), (34, 34), (50, 40), (54, 42), (54, 44), (54, 46), (56, 46), (58, 44), (60, 44), (60, 46), (62, 48), (64, 50), (71, 52), (74, 58)]
  0x00100100  2 scripts ['4a160034', 'cbc905cd']  sizes [(381, 91)]
  0x00100101  2 scripts ['4a160034', 'cbc905cd']  sizes [(381, 340)]
  0x091C91BA  2 scripts ['891c9259', '89aad2aa']  sizes [(266, 638), (423, 407)]
  0x091C91BB  2 scripts ['891c9259', '89aad2aa']  sizes [(92, 25), (92, 30)]
  0x091C91BC  2 scripts ['891c9259', '89aad2aa']  sizes [(92, 25), (92, 30)]
  0x091C91BD  2 scripts ['891c9259', '89aad2aa']  sizes [(93, 25), (93, 30)]
  0x0942D1CB  2 scripts ['891c9259', '89aad2aa']  sizes [(92, 22)]
  0x0942D1CC  2 scripts ['891c9259', '89aad2aa']  sizes [(94, 22)]
  0x098F4F6C  2 scripts ['49889894', 'aa920991']  sizes [(40, 29), (40, 36)]
  0x0991EE13  3 scripts ['2bc90671', '898897de', 'a991ed83']  sizes [(64, 50)]
  0x0991EE39  3 scripts ['2bc90671', '898897de', 'a991ed83']  sizes [(64, 50)]
  0x09D27EB0  2 scripts ['2bc90671', '898897de']  sizes [(8, 71), (71, 4)]
  0x09E418FE  2 scripts ['2bc90671', '898897de']  sizes [(140, 19), (142, 19)]
  0x0A15C7A1  2 scripts ['4a160034', 'cbc905cd']  sizes [(48, 52)]
  0x0A15C7D8  2 scripts ['4a160034', 'cbc905cd']  sizes [(48, 52)]
  0x0A15EFBC  2 scripts ['4a160034', 'cbc905cd']  sizes [(88, 95)]
  0x0A1D96CC  2 scripts ['4a160034', 'cbc905cd']  sizes [(24, 24)]
  0x0A32CAC3  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(22, 20)]
  0x0A4A8176  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(503, 107), (546, 122)]
  0x0A4C3354  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(192, 30)]
  0x0A4C335C  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(427, 24)]
  0x0A4C3405  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(130, 18)]
  0x0A4C3406  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(130, 18)]
  0x0A4C3407  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(130, 18)]
  0x0A4C3408  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(130, 18)]
  0x0A4C3409  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(80, 20)]
  0x0A4C3489  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(262, 18)]
  0x0A4C34BE  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(96, 18), (161, 18)]
  0x0A4C34DB  2 scripts ['aa3acdfe', 'cbc3c2b9']  sizes [(114, 27)]
  0x0A51201D  2 scripts ['2bc90671', '898897de']  sizes [(165, 24)]
  0x0A551C50  2 scripts ['0a8cd184', 'ca539340']  sizes [(216, 165), (258, 250)]
  0x0A8B7E00  3 scripts ['6bc9065a', '8a7e052f', 'ea2871aa']  sizes [(16, 16), (22, 20)]
  0x0A8B7E01  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(22, 20)]
