archive : <PROJECT-ROOT> 1 Project\1 Completed Projects\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (21339964 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A8455DA  modified 0x6A8455DA
index   : 655 entries @ 0x1456C10 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x1441625F 0x0059B6BC 1039
0x856DDBAC 0x46A006B0 0x14416282 0x0059BACB 18273
0x856DDBAC 0x46A006B0 0x14416283 0x005A022C 67895
0x856DDBAC 0x46A006B0 0x14416284 0x005B0B63 64706
0x856DDBAC 0x46A006B0 0x14416285 0x005C0825 67297
0x856DDBAC 0x46A006B0 0x14416286 0x005D0F06 40301
0x856DDBAC 0x46A006B0 0x14416287 0x005DAC73 64848
0x856DDBAC 0x46A006B0 0x14416288 0x005EA9C3 38717
0x856DDBAC 0x46A006B0 0x14416289 0x005F4100 18399
0x856DDBAC 0x46A006B0 0x1441628A 0x005F88DF 41379
0x856DDBAC 0x46A006B0 0x14416291 0x00602A82 2182
0x856DDBAC 0x46A006B0 0x14416295 0x00603308 1641
0x856DDBAC 0x46A006B0 0x14416296 0x00603971 1703
0x856DDBAC 0x46A006B0 0x14416297 0x00604018 2152
0x856DDBAC 0x46A006B0 0x14416298 0x00604880 2271
0x856DDBAC 0x46A006B0 0x14416299 0x0060515F 53004
0x856DDBAC 0x46A006B0 0x1441629A 0x0061206B 15420
0x856DDBAC 0x46A006B0 0x1441629B 0x00615CA7 55880
0x856DDBAC 0x46A006B0 0x1441629C 0x006236EF 58660
0x856DDBAC 0x46A006B0 0x1441629D 0x00631C13 57616
0x856DDBAC 0x46A006B0 0x1441629E 0x0063FD23 54315
0x856DDBAC 0x46A006B0 0x1441629F 0x0064D14E 8688
0x856DDBAC 0x46A006B0 0x144162A0 0x0064F33E 60983
0x856DDBAC 0x46A006B0 0x144162A1 0x0065E175 60601
0x856DDBAC 0x46A006B0 0x144162A2 0x0066CE2E 5093
0x856DDBAC 0x46A006B0 0x144162A3 0x0066E213 10088
0x856DDBAC 0x46A006B0 0x144162A4 0x0067097B 7431
0x856DDBAC 0x46A006B0 0x144162A5 0x00672682 8238
0x856DDBAC 0x46A006B0 0x144162A6 0x006746B0 55419
0x856DDBAC 0x46A006B0 0x144162A7 0x00681F2B 52012
0x856DDBAC 0x46A006B0 0x144162AA 0x0068EA57 1630
0x856DDBAC 0x46A006B0 0x144162AC 0x0068F0B5 28704
0x856DDBAC 0x46A006B0 0x144162AD 0x006960D5 75691
0x856DDBAC 0x46A006B0 0x144162AE 0x006A8880 65956
0x856DDBAC 0x46A006B0 0x144162AF 0x006B8A24 77220
0x856DDBAC 0x46A006B0 0x144162B0 0x006CB7C8 52670
0x856DDBAC 0x46A006B0 0x14416300 0x006D8586 8300
0x856DDBAC 0x46A006B0 0x14416301 0x006DA5F2 26940
0x856DDBAC 0x46A006B0 0x14416302 0x006E0F2E 24175
0x856DDBAC 0x46A006B0 0x14416303 0x006E6D9D 17687
0x856DDBAC 0x46A006B0 0x14416304 0x006EB2B4 10794
0x856DDBAC 0x46A006B0 0x14416307 0x006EDCDE 44945
0x856DDBAC 0x46A006B0 0x1441630D 0x006F8C6F 9305
0x856DDBAC 0x46A006B0 0x1441630F 0x006FB0C8 10348
0x856DDBAC 0x46A006B0 0x14416312 0x006FD934 64093
